measurementTime,id,x,y
21.2,flow_0.1,31.608817,101.600000
21.2,flow_0.2,-1.600000,58.283783
21.3,flow_0.1,32.921420,101.600000
21.3,flow_0.2,-1.600000,59.575764
21.4,flow_0.1,34.248139,101.600000
21.4,flow_0.2,-1.600000,60.876902
21.5,flow_0.1,35.588797,101.600000
21.5,flow_0.2,-1.600000,62.168091
21.6,flow_0.1,36.952148,101.600000
21.6,flow_0.2,-1.600000,63.460810
21.7,flow_0.1,38.335444,101.600000
21.7,flow_0.2,-1.600000,64.757927
21.8,flow_0.1,39.736062,101.600000
21.8,flow_0.2,-1.600000,66.048276
21.9,flow_0.1,41.150868,101.600000
21.9,flow_0.2,-1.600000,67.347572
22,flow_0.1,42.590201,101.600000
22,flow_0.2,-1.600000,68.649296
22.1,flow_0.1,44.040038,101.600000
22.1,flow_0.2,-1.600000,69.942347
22.2,flow_0.1,45.485819,101.600000
22.2,flow_0.2,-1.600000,71.239799
22.3,flow_0.1,46.932547,101.600000
22.3,flow_0.2,-1.600000,72.540760
22.4,flow_0.1,48.377981,101.600000
22.4,flow_0.2,-1.600000,73.842888
22.5,flow_0.1,49.823468,101.600000
22.5,flow_0.2,-1.600000,75.122594
22.6,flow_0.1,51.271411,101.600000
22.6,flow_0.2,-1.600000,76.357300
22.7,flow_0.1,52.713508,101.600000
22.7,flow_0.2,-1.600000,77.547006
22.8,flow_0.2,-1.600000,78.691711
22.9,flow_0.2,-1.600000,79.791417
23,flow_0.2,-1.600000,80.846123
23.1,flow_0.2,-1.600000,81.855829
23.2,flow_0.2,-1.600000,82.820535
23.3,flow_0.2,-1.600000,83.740241
23.4,flow_0.2,-1.600000,84.614947
23.5,flow_0.2,-1.600000,85.444653
23.6,flow_0.2,-1.600000,86.229359
23.7,flow_0.2,-1.600000,86.969923
23.8,flow_0.2,-1.600000,87.665487
23.9,flow_0.2,-1.600000,88.316052
24,flow_0.2,-1.600000,88.992616
24.1,flow_0.2,-1.600000,89.695180
24.2,flow_0.2,-1.600000,90.423744
24.3,flow_0.2,-1.600000,91.178309
24.4,flow_0.2,-1.600000,91.958873
24.5,flow_0.2,-1.600000,92.754180
24.6,flow_0.2,-1.500355,93.497516
24.7,flow_0.2,-1.394507,94.238449
24.8,flow_0.2,-1.288407,94.981154
24.9,flow_0.2,-1.183678,95.714251
25,flow_0.2,-1.078080,96.453439
25.1,flow_0.2,-0.772026,97.113290
25.2,flow_0.2,-0.388413,97.752645
25.3,flow_0.2,-0.002620,98.395633
