measurementTime,id,x,y
7.4,flow_1.0,65.000976,1.600000
7.4,flow_0.1,-1.600000,12.325412
7.5,flow_1.0,66.151136,1.600000
7.5,flow_0.1,-1.600000,12.376063
7.6,flow_1.0,67.300468,1.600000
7.6,flow_0.1,-1.600000,12.451798
7.7,flow_1.0,68.450608,1.600000
7.7,flow_0.1,-1.600000,12.551341
7.8,flow_1.0,69.591943,1.600000
7.8,flow_0.1,-1.600000,12.671278
7.9,flow_0.1,-1.600000,12.810890
8,flow_0.1,-1.600000,12.972092
8.1,flow_0.1,-1.600000,13.156265
8.2,flow_0.1,-1.600000,13.356336
8.3,flow_0.1,-1.600000,13.577049
8.4,flow_0.1,-1.600000,13.823004
8.5,flow_0.1,-1.600000,14.093066
8.6,flow_0.1,-1.600000,14.381637
8.7,flow_0.1,-1.600000,14.694703
8.8,flow_0.1,-1.600000,15.026192
8.9,flow_0.1,-1.600000,15.382286
9,flow_0.1,-1.600000,15.758903
9.1,flow_0.1,-1.600000,16.149018
9.2,flow_0.1,-1.600000,16.564892
9.3,flow_0.1,-1.600000,17.002285
9.4,flow_0.1,-1.600000,17.455889
9.5,flow_0.1,-1.600000,17.924418
9.6,flow_0.1,-1.600000,18.409881
9.7,flow_0.1,-1.600000,18.914527
9.8,flow_0.1,-1.600000,19.444429
9.9,flow_0.1,-1.600000,19.996650
10,flow_0.1,-1.600000,20.570943
10.1,flow_0.1,-1.600000,21.163374
10.2,flow_0.1,-1.600000,21.769161
10.3,flow_0.1,-1.600000,22.390816
10.4,flow_0.1,-1.600000,23.031278
10.5,flow_0.1,-1.600000,23.693668
10.6,flow_0.1,-1.600000,24.378502
10.7,flow_0.1,-1.600000,25.080749
10.8,flow_0.1,-1.600000,25.808231
10.9,flow_0.1,-1.600000,26.550604
11,flow_0.1,-1.600000,27.317219
11.1,flow_0.1,-1.600000,28.108586
11.2,flow_0.1,-1.600000,28.918166
11.3,flow_0.1,-1.600000,29.741056
11.4,flow_0.1,-1.600000,30.587006
11.5,flow_0.1,-1.600000,31.452589
11.6,flow_0.1,-1.600000,32.340285
11.7,flow_0.1,-1.600000,33.248694
11.8,flow_0.1,-1.600000,34.177920
11.9,flow_0.1,-1.600000,35.120967
12,flow_0.1,-1.600000,36.084110
12.1,flow_0.1,-1.600000,37.062886
12.2,flow_0.1,-1.600000,38.058157
12.3,flow_0.1,-1.600000,39.072624
13.4,flow_1.0,98.400000,17.725900
13.5,flow_1.0,98.400000,18.587723
13.6,flow_1.0,98.400000,19.462706
13.7,flow_1.0,98.400000,20.361746
13.8,flow_1.0,98.400000,21.274311
13.9,flow_1.0,98.400000,22.200786
14,flow_1.0,98.400000,23.151447
14.1,flow_1.0,98.400000,24.124474
14.2,flow_1.0,98.400000,25.120913
14.3,flow_1.0,98.400000,26.140200
14.4,flow_1.0,98.400000,27.184698
14.5,flow_1.0,98.400000,28.245482
14.6,flow_1.0,98.400000,29.331417
14.7,flow_1.0,98.400000,30.442476
14.8,flow_1.0,98.400000,31.574925
14.9,flow_1.0,98.400000,32.725607
15,flow_1.0,98.400000,33.879654
15.1,flow_1.0,98.400000,35.030809
15.2,flow_1.0,98.400000,36.181273
15.3,flow_1.0,98.400000,37.330685
15.4,flow_1.0,98.400000,38.479844
15.5,flow_1.0,98.400000,39.626030
15.6,flow_1.0,98.400000,40.772988
15.7,flow_1.0,98.400000,41.927012
15.8,flow_1.0,98.400000,43.075227
15.9,flow_1.0,98.400000,44.220615
16,flow_1.0,98.400000,45.373492
16.1,flow_1.0,98.400000,46.518175
16.2,flow_1.0,98.400000,47.659523
16.3,flow_1.0,98.400000,48.811156
16.4,flow_1.0,98.400000,49.963380
16.5,flow_1.0,98.400000,51.106203
16.6,flow_1.0,98.400000,52.251065
16.7,flow_1.0,98.400000,53.397689
16.8,flow_1.0,98.400000,54.546734
16.9,flow_1.0,98.400000,55.692010
17,flow_1.0,98.400000,56.840648
20.9,flow_1.2,54.903729,1.600000
21,flow_1.2,56.084236,1.600000
21.1,flow_1.2,57.268175,1.600000
21.2,flow_1.2,58.455955,1.600000
21.3,flow_1.2,59.644511,1.600000
21.4,flow_1.2,60.826986,1.600000
21.5,flow_1.2,62.013247,1.600000
21.6,flow_1.2,63.201456,1.600000
21.7,flow_1.2,64.385483,1.600000
21.8,flow_1.2,65.570575,1.600000
21.9,flow_0.0,101.600000,83.960734
21.9,flow_1.2,66.754229,1.600000
22,flow_0.0,101.600000,82.942992
22,flow_1.2,67.935817,1.600000
22.1,flow_0.0,101.600000,81.912237
22.1,flow_1.2,69.122836,1.600000
22.2,flow_0.0,101.600000,80.865655
22.2,flow_1.2,70.303343,1.600000
22.3,flow_0.0,101.600000,79.794366
22.3,flow_1.2,71.485045,1.600000
22.4,flow_0.0,101.600000,78.703030
22.4,flow_1.2,72.673652,1.600000
22.5,flow_0.0,101.600000,77.585882
22.5,flow_1.2,73.850957,1.600000
22.6,flow_0.0,101.600000,76.453976
22.6,flow_1.2,75.033411,1.600000
22.7,flow_0.0,101.600000,75.305129
22.7,flow_1.2,76.210712,1.600000
22.8,flow_0.0,101.600000,74.140549
22.8,flow_1.2,77.394440,1.600000
22.9,flow_0.0,101.600000,72.960185
22.9,flow_1.2,78.581445,1.600000
23,flow_0.0,101.600000,71.765182
23,flow_1.2,79.758876,1.600000
23.1,flow_0.0,101.600000,70.547306
23.1,flow_1.0,86.904930,98.400000
23.2,flow_0.0,101.600000,69.306668
23.2,flow_1.0,86.164031,98.400000
23.3,flow_0.0,101.600000,68.043777
23.3,flow_1.0,85.403295,98.400000
23.4,flow_0.0,101.600000,66.760696
23.4,flow_1.0,84.620633,98.400000
23.5,flow_0.0,101.600000,65.456580
23.5,flow_1.0,83.815198,98.400000
23.6,flow_0.0,101.600000,64.126938
23.6,flow_1.0,82.990502,98.400000
23.7,flow_0.0,101.600000,62.773331
23.7,flow_1.0,82.147470,98.400000
23.8,flow_0.0,101.600000,61.401129
23.8,flow_1.0,81.278860,98.400000
23.9,flow_0.0,101.600000,60.011790
23.9,flow_1.0,80.385503,98.400000
24,flow_0.0,101.600000,58.606577
24,flow_1.0,79.472519,98.400000
24,flow_0.1,71.454921,101.600000
24.1,flow_0.0,101.600000,57.177817
24.1,flow_1.0,78.541819,98.400000
24.1,flow_0.1,72.813731,101.600000
24.2,flow_0.0,101.600000,55.747292
24.2,flow_1.0,77.592031,98.400000
24.2,flow_0.1,74.127542,101.600000
24.3,flow_0.0,101.600000,54.323546
24.3,flow_1.0,76.623521,98.400000
24.3,flow_0.1,75.396352,101.600000
24.4,flow_0.0,101.600000,52.896386
24.4,flow_1.0,75.638470,98.400000
24.4,flow_0.1,76.620163,101.600000
24.5,flow_0.0,101.600000,51.477480
24.5,flow_1.0,74.629798,98.400000
24.5,flow_0.1,77.798973,101.600000
24.6,flow_0.0,101.600000,50.050992
24.6,flow_1.0,73.595235,98.400000
24.6,flow_0.1,78.932784,101.600000
24.7,flow_0.0,101.600000,48.626029
24.7,flow_1.0,72.540621,98.400000
24.7,flow_0.1,80.022584,101.600000
24.8,flow_0.0,101.600000,47.202864
24.8,flow_1.0,71.465601,98.400000
24.8,flow_0.1,81.067383,101.600000
24.9,flow_0.0,101.600000,45.772314
24.9,flow_1.0,70.372458,98.400000
24.9,flow_0.1,82.067183,101.600000
25,flow_0.0,101.600000,44.347186
25,flow_1.0,69.263858,98.400000
25,flow_0.1,83.021983,101.600000
25.1,flow_0.0,101.600000,42.918944
25.1,flow_1.0,68.140780,98.400000
25.1,flow_0.1,83.932152,101.600000
25.2,flow_0.0,101.600000,41.488291
25.2,flow_1.0,67.003732,98.400000
25.2,flow_0.1,84.797322,101.600000
25.3,flow_0.0,101.600000,40.060599
25.3,flow_1.0,65.852748,98.400000
25.3,flow_0.1,85.617492,101.600000
25.4,flow_0.0,101.600000,38.630299
25.4,flow_1.0,64.699016,98.400000
25.4,flow_0.1,86.392661,101.600000
25.5,flow_0.0,101.600000,37.204548
25.5,flow_1.0,63.552181,98.400000
25.5,flow_0.1,87.122831,101.600000
25.6,flow_0.0,101.600000,35.775737
25.6,flow_1.0,62.408714,98.400000
25.6,flow_0.1,87.808000,101.600000
25.7,flow_0.0,101.600000,34.348937
25.7,flow_1.0,61.259520,98.400000
25.7,flow_0.1,88.448170,101.600000
25.8,flow_0.0,101.600000,32.930819
25.8,flow_1.0,60.114442,98.400000
25.8,flow_0.1,89.114340,101.600000
25.9,flow_0.0,101.600000,31.505080
25.9,flow_1.0,58.963640,98.400000
25.9,flow_0.1,89.806509,101.600000
26,flow_0.0,101.600000,30.080366
26,flow_1.0,57.810129,98.400000
26,flow_0.1,90.524679,101.600000
26.1,flow_0.0,101.600000,28.653732
26.1,flow_1.0,56.668212,98.400000
26.1,flow_0.1,91.268849,101.600000
26.2,flow_1.0,55.519280,98.400000
26.2,flow_0.1,92.039018,101.600000
26.3,flow_1.0,54.366117,98.400000
26.3,flow_0.1,92.834840,101.595023
26.4,flow_1.0,53.221372,98.400000
26.4,flow_0.1,93.645184,101.479259
26.5,flow_1.0,52.067434,98.400000
26.5,flow_0.1,94.468707,101.361613
26.6,flow_1.0,50.919359,98.400000
26.6,flow_0.1,95.291902,101.244014
26.7,flow_1.0,49.765704,98.400000
26.7,flow_0.1,96.114276,101.126532
26.8,flow_1.0,48.612328,98.400000
26.8,flow_0.1,96.900232,100.899861
26.9,flow_1.0,47.461048,98.400000
26.9,flow_0.1,97.613155,100.472107
27,flow_1.0,46.308722,98.400000
27,flow_0.1,98.323338,100.045997
27.1,flow_1.0,45.163349,98.400000
27.1,flow_0.1,99.038623,99.616826
27.2,flow_1.0,44.011434,98.400000
27.2,flow_0.1,99.611157,99.048071
27.3,flow_1.0,42.863152,98.400000
27.3,flow_0.1,100.039482,98.334197
27.4,flow_0.1,100.469550,97.617417
27.5,flow_0.1,100.895590,96.907351
27.6,flow_0.1,101.125473,96.121687
27.7,flow_0.1,101.243345,95.296585
27.8,flow_0.1,101.360117,94.479184
27.9,flow_0.1,101.477113,93.660212
28,flow_0.1,101.594319,92.839765
28.1,flow_0.1,101.600000,92.007102
28.2,flow_0.1,101.600000,91.158253
28.3,flow_0.1,101.600000,90.288936
28.4,flow_0.1,101.600000,89.402921
28.5,flow_0.1,101.600000,88.501572
28.6,flow_0.1,101.600000,87.576264
28.7,flow_0.1,101.600000,86.630352
28.8,flow_0.1,101.600000,85.658628
28.9,flow_0.1,101.600000,84.669636
29,flow_0.1,101.600000,83.665614
29.1,flow_0.1,101.600000,82.646158
29.2,flow_0.1,101.600000,81.609693
29.3,flow_0.1,101.600000,80.550194
29.4,flow_0.1,101.600000,79.469669
29.5,flow_0.1,101.600000,78.372101
29.5,flow_0.2,38.943538,101.600000
29.6,flow_0.1,101.600000,77.256441
29.6,flow_0.2,40.242244,101.600000
29.7,flow_0.1,101.600000,76.116030
29.7,flow_0.2,41.543869,101.600000
29.8,flow_0.1,101.600000,74.954745
29.8,flow_0.2,42.837952,101.600000
29.9,flow_0.1,101.600000,73.778678
29.9,flow_0.2,44.129759,101.600000
30,flow_0.1,101.600000,72.585278
30,flow_0.2,45.431817,101.600000
30.1,flow_0.1,101.600000,71.371733
30.1,flow_0.2,46.721549,101.600000
30.2,flow_0.1,101.600000,70.143776
30.2,flow_0.2,48.020818,101.600000
30.3,flow_0.1,101.600000,68.898230
30.3,flow_0.2,49.319969,101.600000
30.4,flow_0.1,101.600000,67.630261
30.4,flow_0.2,50.616758,101.600000
30.5,flow_0.1,101.600000,66.342640
30.5,flow_0.2,51.917700,101.600000
30.6,flow_0.1,101.600000,65.040538
30.6,flow_0.2,53.210814,101.600000
30.7,flow_0.1,101.600000,63.712477
30.7,flow_0.2,54.506796,101.600000
30.8,flow_0.1,101.600000,62.366925
30.8,flow_0.2,55.808251,101.600000
30.9,flow_0.1,101.600000,60.996583
30.9,flow_0.2,57.108302,101.600000
31,flow_0.1,101.600000,59.600856
31,flow_0.2,58.401869,101.600000
31,flow_1.2,98.400000,55.137337
31.1,flow_0.1,101.600000,58.189274
31.1,flow_0.2,59.692955,101.600000
31.1,flow_1.2,98.400000,56.319198
31.2,flow_0.1,101.600000,56.757307
31.2,flow_0.2,60.984610,101.600000
31.2,flow_1.2,98.400000,57.501067
31.3,flow_0.1,101.600000,55.306352
31.3,flow_0.2,62.286927,101.600000
31.3,flow_1.2,98.400000,58.683817
31.4,flow_0.1,101.600000,53.863612
31.4,flow_0.2,63.587484,101.600000
31.4,flow_1.2,98.400000,59.864348
31.5,flow_0.2,64.881641,101.600000
31.5,flow_1.2,98.400000,61.041932
31.6,flow_0.2,66.172145,101.600000
31.6,flow_1.2,98.400000,62.228733
31.7,flow_0.2,67.466133,101.600000
31.7,flow_1.2,98.400000,63.412607
31.8,flow_0.2,68.765042,101.600000
31.8,flow_1.2,98.400000,64.591343
31.9,flow_0.2,70.057788,101.600000
31.9,flow_1.2,98.400000,65.776377
32,flow_0.2,71.348820,101.600000
32,flow_1.2,98.400000,66.956077
32.1,flow_0.2,72.641202,101.600000
32.1,flow_1.2,98.400000,68.137881
32.2,flow_0.2,73.943730,101.600000
32.2,flow_1.2,98.400000,69.322853
32.3,flow_0.2,75.211005,101.600000
32.3,flow_1.2,98.400000,70.503853
32.4,flow_0.2,76.440018,101.600000
32.4,flow_1.2,98.400000,71.683641
32.5,flow_0.2,77.624032,101.600000
32.5,flow_1.2,98.400000,72.868477
32.6,flow_0.2,78.763045,101.600000
32.6,flow_1.2,98.400000,74.049177
32.7,flow_0.2,79.857059,101.600000
32.7,flow_1.2,98.400000,75.232945
32.8,flow_1.0,1.600000,90.906407
32.8,flow_0.2,80.908636,101.600000
32.8,flow_1.2,98.400000,76.413858
32.9,flow_1.0,1.600000,90.308156
32.9,flow_0.2,81.915213,101.600000
33,flow_1.0,1.600000,89.695680
33,flow_0.2,82.876789,101.600000
33.1,flow_1.0,1.600000,89.062249
33.1,flow_0.2,83.793366,101.600000
33.2,flow_1.0,1.600000,88.403785
33.2,flow_0.2,84.664943,101.600000
33.3,flow_1.0,1.600000,87.728347
33.3,flow_0.2,85.491520,101.600000
33.4,flow_1.0,1.600000,87.039738
33.4,flow_0.2,86.273096,101.600000
33.5,flow_1.0,1.600000,86.326846
33.5,flow_0.2,87.009673,101.600000
33.6,flow_1.0,1.600000,85.591960
33.6,flow_0.2,87.701250,101.600000
33.7,flow_1.0,1.600000,84.838132
33.7,flow_0.2,88.347827,101.600000
33.8,flow_1.0,1.600000,84.064764
33.8,flow_0.2,89.020404,101.600000
33.9,flow_1.0,1.600000,83.272893
33.9,flow_0.2,89.718980,101.600000
34,flow_1.0,1.600000,82.466542
34,flow_0.2,90.443557,101.600000
34.1,flow_1.0,1.600000,81.638547
34.1,flow_0.2,91.194134,101.600000
34.2,flow_1.0,1.600000,80.787298
34.2,flow_0.2,91.970711,101.600000
34.3,flow_1.0,1.600000,79.914074
34.4,flow_1.0,1.600000,79.021503
34.5,flow_1.0,1.600000,78.104821
34.6,flow_1.0,1.600000,77.168848
34.7,flow_1.0,1.600000,76.216505
34.8,flow_1.0,1.600000,75.248900
34.9,flow_1.0,1.600000,74.263217
35,flow_1.0,1.600000,73.260161
35.1,flow_1.0,1.600000,72.234972
35.2,flow_1.0,1.600000,71.186208
35.3,flow_1.0,1.600000,70.117195
35.4,flow_1.0,1.600000,69.033825
35.5,flow_1.0,1.600000,67.925396
35.6,flow_1.0,1.600000,66.796921
35.7,flow_1.0,1.600000,65.648652
35.8,flow_1.0,1.600000,64.495440
35.9,flow_1.0,1.600000,63.345578
36,flow_1.0,1.600000,62.204173
36.1,flow_1.0,1.600000,61.062686
36.2,flow_1.0,1.600000,59.910504
36.3,flow_1.0,1.600000,58.758475
36.4,flow_1.0,1.600000,57.605522
36.5,flow_1.0,1.600000,56.453363
36.6,flow_1.0,1.600000,55.302728
36.7,flow_1.0,1.600000,54.156407
36.8,flow_1.0,1.600000,53.009842
36.9,flow_1.0,1.600000,51.863235
37,flow_1.0,1.600000,50.710374
37.1,flow_1.0,1.600000,49.565417
37.2,flow_1.0,1.600000,48.422666
37.3,flow_1.0,1.600000,47.280370
37.4,flow_1.0,1.600000,46.133076
37.5,flow_1.0,1.600000,44.991666
37.6,flow_1.0,1.600000,43.849909
37.7,flow_1.0,1.600000,42.706274
37.8,flow_1.0,1.600000,41.561906
43.1,flow_0.1,8.612948,-1.600000
