measurementTime,id,x,y
0.2,flow_1.0,12.325381,1.600000
0.3,flow_1.0,12.375986,1.600000
0.4,flow_1.0,12.448854,1.600000
0.5,flow_1.0,12.544717,1.600000
0.6,flow_1.0,12.661147,1.600000
0.7,flow_1.0,12.801190,1.600000
0.8,flow_1.0,12.966379,1.600000
0.9,flow_1.0,13.149547,1.600000
1,flow_1.0,13.355864,1.600000
1.1,flow_1.0,13.585174,1.600000
1.2,flow_1.0,13.833707,1.600000
1.3,flow_1.0,14.099601,1.600000
1.4,flow_1.0,14.384900,1.600000
1.5,flow_1.0,14.691667,1.600000
1.6,flow_1.0,15.021182,1.600000
1.7,flow_1.0,15.368096,1.600000
1.8,flow_1.0,15.735535,1.600000
1.9,flow_1.0,16.125203,1.600000
2,flow_1.0,16.536691,1.600000
2.1,flow_1.0,16.968733,1.600000
2.2,flow_1.0,17.417983,1.600000
2.3,flow_1.0,17.882819,1.600000
2.4,flow_1.0,18.366577,1.600000
2.5,flow_1.0,18.865738,1.600000
2.6,flow_1.0,19.386777,1.600000
2.7,flow_1.0,19.929305,1.600000
2.8,flow_1.0,20.488026,1.600000
2.9,flow_1.0,21.071740,1.600000
3,flow_1.0,21.676958,1.600000
3.1,flow_1.0,22.298375,1.600000
3.2,flow_1.0,22.943923,1.600000
3.3,flow_1.0,23.605068,1.600000
3.4,flow_1.0,24.291628,1.600000
3.5,flow_1.0,25.002675,1.600000
3.6,flow_1.0,25.736195,1.600000
3.7,flow_1.0,26.486207,1.600000
3.8,flow_1.0,27.249584,1.600000
3.9,flow_1.0,28.027470,1.600000
4,flow_1.0,28.826278,1.600000
4.1,flow_1.0,29.646342,1.600000
4.2,flow_1.0,30.485229,1.600000
4.3,flow_1.0,31.344803,1.600000
4.4,flow_1.0,32.229093,1.600000
4.5,flow_1.0,33.132864,1.600000
4.6,flow_1.0,34.051343,1.600000
4.7,flow_1.0,34.993737,1.600000
4.8,flow_1.0,35.962013,1.600000
4.9,flow_1.0,36.951914,1.600000
5,flow_1.0,37.959824,1.600000
5.1,flow_1.0,38.982485,1.600000
10.8,vehicle_0,47.729760,95.800000
10.9,vehicle_0,47.175904,95.800000
11,vehicle_0,46.622582,95.800000
11.1,vehicle_0,46.070284,95.800000
11.2,vehicle_0,45.514840,95.800000
11.3,vehicle_0,44.963688,95.800000
