measurementTime,id,x,y
14.6,flow_1.1,66.134218,1.600000
14.6,flow_0.2,-1.600000,12.325217
14.7,flow_1.1,67.360751,1.600000
14.7,flow_0.2,-1.600000,12.375803
14.8,flow_1.1,68.583076,1.600000
14.8,flow_0.2,-1.600000,12.448719
14.9,flow_1.1,69.807654,1.600000
14.9,flow_0.2,-1.600000,12.543781
15,flow_0.2,-1.600000,12.661521
15.1,flow_0.2,-1.600000,12.799857
15.2,flow_0.2,-1.600000,12.958532
15.3,flow_0.2,-1.600000,13.137136
15.4,flow_0.2,-1.600000,13.341257
15.5,flow_0.2,-1.600000,13.563610
15.6,flow_0.2,-1.600000,13.806597
15.7,flow_0.2,-1.600000,14.068279
15.8,flow_0.2,-1.600000,14.354088
15.9,flow_0.2,-1.600000,14.652916
16,flow_0.2,-1.600000,14.969966
16.1,flow_0.2,-1.600000,15.304167
16.2,flow_0.2,-1.600000,15.656442
16.3,flow_0.2,-1.600000,16.033710
16.4,flow_0.2,-1.600000,16.427981
16.5,flow_0.2,-1.600000,16.843386
16.6,flow_0.2,-1.600000,17.283106
16.7,flow_0.2,-1.600000,17.740985
16.8,flow_0.2,-1.600000,18.221574
16.9,flow_0.2,-1.600000,18.725655
17,flow_0.2,-1.600000,19.244337
17.1,flow_0.2,-1.600000,19.784737
17.2,flow_0.2,-1.600000,20.341282
17.3,flow_0.2,-1.600000,20.918850
17.4,flow_0.2,-1.600000,21.517029
17.5,flow_0.2,-1.600000,22.138231
17.6,flow_0.2,-1.600000,22.778478
17.7,flow_0.2,-1.600000,23.436693
17.8,flow_0.2,-1.600000,24.110537
17.9,flow_0.2,-1.600000,24.798457
18,flow_0.2,-1.600000,25.499913
18.1,flow_0.2,-1.600000,26.216217
18.2,flow_0.2,-1.600000,26.953937
18.3,flow_0.2,-1.600000,27.717157
18.4,flow_0.2,-1.600000,28.506265
18.5,flow_0.2,-1.600000,29.309248
18.6,flow_0.2,-1.600000,30.134552
18.7,flow_0.2,-1.600000,30.975626
18.8,flow_0.2,-1.600000,31.836986
18.9,flow_0.2,-1.600000,32.718025
19,flow_0.2,-1.600000,33.620849
19.1,flow_0.2,-1.600000,34.545092
19.2,flow_0.2,-1.600000,35.484305
19.3,flow_0.2,-1.600000,36.443869
19.4,flow_0.2,-1.600000,37.421064
19.5,flow_0.2,-1.600000,38.417925
20.7,flow_1.1,98.400000,22.071021
20.8,flow_1.1,98.400000,23.049338
20.9,flow_1.1,98.400000,24.047042
21,flow_1.1,98.400000,25.061703
21.1,flow_1.1,98.400000,26.095637
21.2,flow_1.1,98.400000,27.150170
21.3,flow_1.1,98.400000,28.223603
21.4,flow_1.1,98.400000,29.313152
21.5,flow_1.1,98.400000,30.416138
21.6,flow_1.1,98.400000,31.535817
21.7,flow_1.1,98.400000,32.671281
21.8,flow_1.1,98.400000,33.829467
21.9,flow_1.1,98.400000,35.002319
22,flow_1.1,98.400000,36.197521
22.1,flow_1.1,98.400000,37.417795
22.2,flow_1.1,98.400000,38.640767
22.3,flow_1.1,98.400000,39.859541
22.4,flow_1.1,98.400000,41.089266
22.5,flow_1.1,98.400000,42.317786
22.6,flow_1.1,98.400000,43.538732
22.7,flow_1.1,98.400000,44.763130
22.8,flow_1.1,98.400000,45.985168
22.9,flow_1.1,98.400000,47.209435
23,flow_1.1,98.400000,48.436440
23.1,flow_1.1,98.400000,49.656031
23.2,flow_1.1,98.400000,50.884448
23.3,flow_1.1,98.400000,52.104535
23.4,flow_1.1,98.400000,53.325653
23.5,flow_1.1,98.400000,54.543526
24.7,flow_0.0,101.600000,48.626029
24.8,flow_0.0,101.600000,47.202864
24.9,flow_0.0,101.600000,45.772314
25,flow_0.0,101.600000,44.347186
25.1,flow_0.0,101.600000,42.918944
25.2,flow_0.0,101.600000,41.488291
25.3,flow_0.0,101.600000,40.060599
25.4,flow_0.0,101.600000,38.630299
25.5,flow_0.0,101.600000,37.204548
25.6,flow_0.0,101.600000,35.775737
25.7,flow_0.0,101.600000,34.348937
25.8,flow_0.0,101.600000,32.930819
25.9,flow_0.0,101.600000,31.505080
26,flow_0.0,101.600000,30.080366
26.1,flow_0.0,101.600000,28.653732
26.2,flow_0.0,101.600000,27.231588
26.3,flow_0.0,101.600000,25.808189
26.4,flow_0.0,101.600000,24.389058
26.5,flow_0.0,101.600000,22.959910
26.6,flow_0.0,101.600000,21.544862
26.7,flow_0.0,101.600000,20.174814
26.8,flow_0.0,101.600000,18.849766
26.9,flow_0.0,101.600000,17.566384
