measurementTime,id,x,y
14.6,flow_0.1,-1.600000,67.374984
14.6,flow_1.2,12.324775,1.600000
14.7,flow_0.1,-1.600000,68.824359
14.7,flow_1.2,12.373994,1.600000
14.8,flow_1.2,12.448245,1.600000
14.9,flow_1.2,12.545924,1.600000
15,flow_1.2,12.664564,1.600000
15.1,flow_1.2,12.805431,1.600000
15.2,flow_1.2,12.966817,1.600000
15.3,flow_1.2,13.149649,1.600000
15.4,flow_1.2,13.356161,1.600000
15.5,flow_1.2,13.584105,1.600000
15.6,flow_1.2,13.827210,1.600000
15.7,flow_1.2,14.086213,1.600000
15.8,flow_1.2,14.370434,1.600000
15.9,flow_1.2,14.673539,1.600000
16,flow_1.2,14.997588,1.600000
16.1,flow_1.2,15.347618,1.600000
16.2,flow_1.2,15.718226,1.600000
16.3,flow_1.2,16.113798,1.600000
16.4,flow_1.2,16.523118,1.600000
16.5,flow_1.2,16.947861,1.600000
16.6,flow_1.2,17.397320,1.600000
16.7,flow_1.2,17.860696,1.600000
16.8,flow_1.2,18.337975,1.600000
16.9,flow_1.2,18.837391,1.600000
17,flow_1.2,19.362059,1.600000
17.1,flow_1.2,19.905594,1.600000
17.2,flow_1.2,20.468954,1.600000
17.3,flow_1.2,21.057335,1.600000
17.4,flow_1.2,21.663801,1.600000
17.5,flow_1.2,22.287859,1.600000
17.6,flow_1.2,22.930925,1.600000
17.7,flow_1.2,23.593243,1.600000
17.8,flow_1.2,24.273908,1.600000
17.9,flow_1.2,24.979622,1.600000
18,flow_1.2,25.700087,1.600000
18.1,flow_1.2,26.437172,1.600000
18.2,flow_1.2,27.194685,1.600000
18.3,flow_1.2,27.975888,1.600000
18.4,flow_1.2,28.775291,1.600000
18.5,flow_1.2,29.595921,1.600000
18.6,flow_1.2,30.435633,1.600000
18.7,flow_1.2,31.299548,1.600000
18.8,flow_1.2,32.187967,1.600000
18.9,flow_1.2,33.100073,1.600000
19,flow_1.2,34.025685,1.600000
19.1,flow_1.2,34.966076,1.600000
19.2,flow_1.2,35.920105,1.600000
19.3,flow_1.2,36.897929,1.600000
19.4,flow_1.2,37.899876,1.600000
19.5,flow_1.2,38.919747,1.600000
19.8,vehicle_0,4.200000,88.982144
19.9,vehicle_0,4.200000,88.431681
20,vehicle_0,4.200000,87.881929
20.1,vehicle_0,4.200000,87.326915
20.2,vehicle_0,4.200000,86.772809
20.3,vehicle_0,4.200000,86.222534
20.4,vehicle_0,4.200000,85.669023
20.5,vehicle_0,4.200000,85.114543
20.6,vehicle_0,4.200000,84.559501
20.7,vehicle_0,4.200000,84.009372
20.8,vehicle_0,4.200000,83.456991
20.9,vehicle_0,4.200000,82.906726
21,vehicle_0,4.200000,82.356590
21.1,vehicle_0,4.200000,81.803486
21.2,vehicle_0,4.200000,81.248075
21.3,vehicle_0,4.200000,80.696361
21.4,vehicle_0,4.200000,80.144823
21.5,vehicle_0,4.200000,79.593406
21.6,vehicle_0,4.200000,79.040382
21.7,vehicle_0,4.200000,78.486244
21.8,vehicle_0,4.200000,77.935348
21.9,vehicle_0,4.200000,77.382778
22,vehicle_0,4.200000,76.828693
22.1,vehicle_0,4.200000,76.276272
22.2,vehicle_0,4.200000,75.722117
22.3,vehicle_0,4.200000,75.171773
22.4,vehicle_0,4.200000,74.617810
22.5,vehicle_0,4.200000,74.063272
22.6,vehicle_0,4.200000,73.510070
22.7,vehicle_0,4.200000,72.955593
22.8,vehicle_0,4.200000,72.401974
22.9,vehicle_0,4.200000,71.852377
23,vehicle_0,4.200000,71.301939
23.1,vehicle_0,4.200000,70.749076
23.2,vehicle_0,4.200000,70.194467
23.3,vehicle_0,4.200000,69.643101
23.4,vehicle_0,4.200000,69.093101
23.5,vehicle_0,4.200000,68.541314
23.6,vehicle_0,4.200000,67.990002
23.7,vehicle_0,4.200000,67.437062
23.8,vehicle_0,4.200000,66.884811
23.9,vehicle_0,4.200000,66.329589
24,vehicle_0,4.200000,65.778643
24.1,vehicle_0,4.200000,65.225661
24.2,vehicle_0,4.200000,64.674850
24.3,vehicle_0,4.200000,64.120125
24.4,vehicle_0,4.200000,63.568192
24.5,vehicle_0,4.200000,63.014276
24.6,vehicle_0,4.200000,62.459995
24.7,vehicle_0,4.200000,61.904639
24.8,vehicle_0,4.200000,61.355051
24.9,vehicle_0,4.200000,60.804291
25,vehicle_0,4.200000,60.249110
25.1,vehicle_0,4.200000,59.697977
25.2,vehicle_0,4.200000,59.148342
25.3,vehicle_0,4.200000,58.598228
25.4,vehicle_0,4.200000,58.043500
25.5,vehicle_0,4.200000,57.488983
25.6,vehicle_0,4.200000,56.936249
25.7,vehicle_0,4.200000,56.386654
25.8,vehicle_0,4.200000,55.831375
25.9,vehicle_0,4.200000,55.281276
26,vehicle_0,4.200000,54.731720
26.1,vehicle_0,4.200000,54.181317
26.2,vehicle_0,4.200000,53.626879
26.3,vehicle_0,4.200000,53.074451
26.3,flow_1.0,54.366117,98.400000
26.4,vehicle_0,4.200000,52.521592
26.4,flow_1.0,53.221372,98.400000
26.5,vehicle_0,4.200000,51.971815
26.5,flow_1.0,52.067434,98.400000
26.6,vehicle_0,4.200000,51.418513
26.6,flow_1.0,50.919359,98.400000
26.7,vehicle_0,4.200000,50.867472
26.7,flow_1.0,49.765704,98.400000
26.8,flow_1.0,48.612328,98.400000
26.9,flow_1.0,47.461048,98.400000
27,flow_1.0,46.308722,98.400000
27.1,flow_1.0,45.163349,98.400000
27.2,flow_1.0,44.011434,98.400000
27.3,flow_1.0,42.863152,98.400000
27.4,flow_1.0,41.715846,98.400000
27.5,flow_1.0,40.564983,98.400000
27.6,flow_1.0,39.415626,98.400000
27.7,flow_1.0,38.267345,98.400000
27.8,flow_1.0,37.113749,98.400000
27.9,flow_1.0,35.970524,98.400000
28,flow_1.0,34.816303,98.400000
28.1,flow_1.0,33.666722,98.400000
28.2,flow_1.0,32.519972,98.400000
28.3,flow_1.0,31.365759,98.400000
28.4,flow_1.0,30.216886,98.400000
28.5,flow_1.0,29.067143,98.400000
28.6,flow_1.0,27.914731,98.400000
28.7,flow_1.0,26.771106,98.400000
28.8,flow_1.0,25.621680,98.400000
28.9,flow_1.0,24.470555,98.400000
29,flow_1.0,23.316898,98.400000
29.1,flow_1.0,22.165227,98.400000
29.2,flow_1.0,21.021919,98.400000
29.3,flow_1.0,19.879448,98.400000
29.4,flow_1.0,18.728358,98.400000
29.5,flow_1.0,17.605614,98.400000
29.5,flow_1.1,86.654121,98.400000
29.6,flow_1.0,16.527138,98.400000
29.6,flow_1.1,85.898519,98.400000
29.7,flow_1.0,15.493662,98.400000
29.7,flow_1.1,85.127878,98.400000
29.8,flow_1.0,14.505186,98.400000
29.8,flow_1.1,84.341343,98.400000
29.9,flow_1.0,13.561710,98.400000
29.9,flow_1.1,83.530450,98.400000
30,flow_1.0,12.663234,98.400000
30,flow_1.1,82.698804,98.400000
30.1,flow_1.0,11.809758,98.400000
30.1,flow_1.1,81.842172,98.400000
30.2,flow_1.0,11.001170,98.400000
30.2,flow_1.1,80.965300,98.400000
30.3,flow_1.0,10.237583,98.400000
30.3,flow_1.1,80.063978,98.400000
30.4,flow_1.0,9.518995,98.400000
30.4,flow_1.1,79.148639,98.400000
30.5,flow_1.0,8.843783,98.400000
30.5,flow_1.1,78.217457,98.400000
30.6,flow_1.0,8.213572,98.400000
30.6,flow_1.1,77.269925,98.400000
30.7,flow_1.0,7.628361,98.400000
30.7,flow_1.1,76.300306,98.400000
30.8,flow_1.0,7.089298,98.384185
30.8,flow_1.1,75.313092,98.400000
30.9,flow_1.0,6.566303,98.309472
30.9,flow_1.1,74.307950,98.400000
31,flow_1.0,6.030850,98.232979
31,flow_1.1,73.284154,98.400000
31.1,flow_1.0,5.495397,98.156485
31.1,flow_1.1,72.240866,98.400000
31.2,flow_1.0,4.959945,98.079992
31.2,flow_1.1,71.182106,98.400000
31.3,flow_1.0,4.468045,97.880827
31.3,flow_1.1,70.101287,98.400000
31.4,flow_1.1,68.995012,98.400000
31.5,flow_1.1,67.869238,98.400000
31.6,flow_1.1,66.717622,98.400000
31.7,flow_1.1,65.548446,98.400000
31.7,flow_1.2,98.400000,63.412607
31.8,flow_1.1,64.356488,98.400000
31.8,flow_1.2,98.400000,64.591343
31.9,flow_1.1,63.140538,98.400000
31.9,flow_1.2,98.400000,65.776377
32,flow_1.1,61.922678,98.400000
32,flow_1.2,98.400000,66.956077
32.1,flow_1.1,60.694352,98.400000
32.1,flow_1.2,98.400000,68.137881
32.2,flow_1.1,59.474288,98.400000
32.2,flow_1.2,98.400000,69.322853
32.3,flow_1.1,58.248067,98.400000
32.3,flow_1.2,98.400000,70.503853
32.4,flow_1.1,57.019926,98.400000
